iter	Passed	Remaining
407	5831	280033
408	5845	280020
409	5860	279995
410	5874	279984
411	5889	279995
412	5903	279972
413	5916	279923
414	5931	279913
415	5944	279860
416	5958	279840
417	5972	279813
418	5986	279779
419	6001	279780
420	6015	279778
421	6030	279762
422	6044	279742
423	6059	279783
424	6074	279801
425	6089	279786
426	6103	279762
427	6117	279746
428	6131	279733
429	6146	279728
430	6160	279709
431	6174	279693
432	6188	279660
433	6202	279641
434	6217	279634
435	6231	279625
436	6245	279605
437	6259	279579
438	6273	279535
439	6287	279530
440	6301	279486
441	6315	279469
442	6329	279432
443	6343	279397
444	6357	279363
445	6371	279332
446	6385	279323
447	6400	279330
448	6414	279328
449	6429	279309
450	6443	279290
451	6456	279250
452	6471	279231
453	6485	279222
454	6499	279194
455	6513	279182
456	6528	279186
457	6542	279163
458	6556	279133
459	6570	279092
460	6584	279066
461	6598	279049
462	6612	279027
463	6626	278982
464	6642	279071
465	6656	279039
466	6670	279005
467	6684	278977
468	6698	278968
469	6713	278961
470	6726	278911
471	6740	278873
472	6755	278870
473	6768	278835
474	6782	278812
475	6797	278798
476	6811	278768
477	6825	278749
478	6839	278724
479	6853	278711
480	6867	278696
481	6882	278702
482	6896	278676
483	6911	278670
484	6924	278639
485	6938	278613
486	6952	278581
487	6967	278572
488	6980	278536
489	6994	278496
490	7008	278451
491	7021	278411
492	7035	278383
493	7049	278357
494	7063	278328
495	7077	278310
496	7091	278278
497	7105	278255
498	7119	278226
499	7133	278205
500	7147	278174
501	7161	278139
502	7174	278108
503	7188	278061
504	7202	278033
505	7215	277993
506	7229	277962
507	7243	277940
508	7257	277914
509	7271	277893
510	7286	277884
511	7300	277865
512	7314	277837
513	7328	277821
514	7342	277804
515	7356	277779
516	7370	277741
517	7384	277736
518	7398	277707
519	7412	277695
520	7429	277782
521	7445	277829
522	7459	277815
523	7474	277820
524	7489	277818
525	7503	277799
526	7517	277772
527	7531	277764
528	7546	277755
529	7561	277763
530	7575	277748
531	7591	277813
532	7605	277788
533	7621	277810
534	7635	277811
535	7650	277820
536	7665	277814
537	7680	277825
538	7694	277800
539	7708	277779
540	7722	277764
541	7737	277766
542	7751	277752
543	7765	277743
544	7780	277729
545	7794	277720
546	7808	277695
547	7823	277695
548	7837	277678
549	7851	277668
550	7866	277657
551	7880	277648
552	7894	277613
553	7908	277593
554	7922	277583
555	7936	277565
556	7951	277550
557	7965	277531
558	7979	277504
559	7993	277485
560	8007	277473
561	8021	277445
562	8035	277420
563	8049	277401
564	8064	277395
565	8078	277370
566	8092	277340
567	8105	277315
568	8120	277302
569	8134	277280
570	8148	277253
571	8162	277228
572	8176	277204
573	8189	277175
574	8204	277160
575	8218	277136
576	8232	277119
577	8246	277115
578	8260	277091
579	8275	277070
580	8288	277045
581	8303	277035
582	8317	277020
583	8331	277003
584	8345	276977
585	8359	276957
586	8374	276942
587	8387	276907
588	8401	276892
589	8415	276868
590	8430	276855
591	8444	276845
592	8458	276828
593	8472	276805
594	8486	276785
595	8500	276756
596	8514	276728
597	8528	276719
598	8542	276693
599	8560	276777
600	8574	276752
601	8587	276720
602	8601	276686
603	8615	276679
604	8629	276659
605	8644	276645
606	8658	276625
607	8672	276608
608	8686	276587
609	8700	276559
610	8714	276542
611	8728	276509
612	8742	276495
613	8757	276490
614	8770	276458
615	8785	276454
616	8799	276437
617	8813	276416
618	8827	276399
619	8842	276392
620	8857	276394
621	8871	276371
622	8885	276376
623	8900	276366
624	8915	276368
625	8929	276372
626	8944	276354
627	8958	276351
628	8972	276329
629	8986	276309
630	9001	276306
631	9015	276281
632	9029	276256
633	9043	276238
634	9058	276235
635	9072	276221
636	9086	276218
637	9101	276199
638	9115	276176
639	9129	276162
640	9143	276159
641	9158	276146
642	9172	276143
643	9187	276137
644	9201	276128
645	9216	276117
646	9230	276097
647	9244	276078
648	9260	276110
649	9274	276097
650	9288	276087
651	9303	276071
652	9318	276076
653	9332	276053
654	9348	276097
655	9362	276080
656	9376	276064
657	9391	276056
658	9405	276038
659	9419	276025
660	9433	276008
661	9448	275994
662	9463	276004
663	9476	275974
664	9490	275945
665	9508	276029
666	9523	276025
667	9536	276001
668	9551	276000
669	9565	275978
670	9580	275966
671	9593	275925
672	9607	275905
673	9621	275894
674	9636	275885
675	9649	275851
676	9664	275836
677	9679	275838
678	9693	275833
679	9707	275816
680	9721	275790
681	9736	275800
682	9750	275781
683	9765	275784
684	9780	275774
685	9794	275754
686	9808	275724
687	9822	275705
688	9836	275693
689	9851	275693
690	9865	275679
691	9879	275668
692	9894	275664
693	9908	275641
694	9922	275628
695	9938	275662
696	9953	275656
697	9967	275638
698	9982	275633
699	9996	275617
700	10010	275599
701	10025	275589
702	10039	275573
703	10053	275555
704	10067	275541
705	10082	275529
706	10096	275515
707	10110	275499
708	10124	275481
709	10139	275489
710	10154	275480
711	10167	275449
712	10182	275442
713	10197	275439
714	10211	275427
715	10226	275422
716	10240	275411
717	10254	275396
718	10270	275411
719	10284	275391
720	10299	275387
721	10312	275363
722	10327	275353
723	10341	275347
724	10356	275339
725	10370	275305
726	10384	275288
727	10398	275267
728	10412	275244
729	10426	275230
730	10440	275216
731	10454	275193
732	10472	275265
733	10486	275253
734	10500	275226
735	10514	275213
736	10529	275203
737	10544	275202
738	10558	275184
739	10572	275176
740	10587	275170
741	10601	275149
742	10615	275134
743	10630	275130
744	10644	275104
745	10658	275088
746	10672	275073
747	10686	275060
748	10701	275047
749	10715	275039
750	10730	275032
751	10744	275014
752	10758	275000
753	10773	274986
754	10787	274977
755	10801	274960
756	10816	274945
757	10830	274927
758	10844	274921
759	10858	274892
760	10872	274879
761	10887	274861
762	10902	274884
763	10917	274874
764	10931	274853
765	10945	274835
766	10959	274826
767	10974	274823
768	10989	274816
769	11003	274792
770	11017	274781
771	11031	274763
772	11045	274740
773	11059	274719
774	11074	274713
775	11089	274716
776	11103	274705
777	11118	274701
778	11132	274676
779	11146	274667
780	11161	274654
781	11175	274639
782	11191	274673
783	11205	274661
784	11220	274640
785	11233	274617
786	11251	274679
787	11266	274694
788	11281	274676
789	11295	274667
790	11309	274644
791	11323	274635
792	11338	274627
793	11352	274602
794	11366	274582
795	11380	274567
796	11395	274560
797	11411	274585
798	11425	274569
799	11440	274566
800	11454	274546
801	11468	274539
802	11482	274517
803	11496	274493
804	11510	274466
805	11524	274447
806	11538	274428
807	11552	274409
808	11567	274392
809	11581	274391
810	11595	274365
811	11609	274346
812	11624	274332
813	11638	274310
814	11652	274292
815	11665	274264
816	11679	274240
817	11699	274345
818	11713	274325
819	11727	274311
820	11742	274314
821	11757	274305
822	11771	274288
823	11786	274286
824	11800	274271
825	11814	274259
826	11828	274236
827	11842	274215
828	11856	274197
829	11871	274183
830	11885	274171
831	11899	274140
832	11913	274125
833	11927	274110
834	11942	274101
835	11956	274083
836	11970	274057
837	11984	274039
838	11998	274031
839	12013	274019
840	12027	274005
841	12046	274083
842	12060	274070
843	12074	274056
844	12089	274050
845	12104	274043
846	12118	274022
847	12132	274007
848	12147	274007
849	12161	273990
850	12176	273981
851	12189	273954
852	12203	273927
853	12217	273902
854	12231	273886
855	12245	273862
856	12259	273840
857	12272	273807
858	12287	273791
859	12301	273772
860	12315	273759
861	12329	273733
862	12343	273724
863	12360	273758
864	12373	273729
865	12387	273708
866	12401	273675
867	12415	273654
868	12429	273639
869	12444	273625
870	12457	273595
871	12471	273568
872	12485	273550
873	12499	273530
874	12513	273499
875	12526	273474
876	12540	273453
877	12554	273428
878	12568	273402
879	12582	273386
