"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.507607516893325,0.448529203201039,0.434623048194245,0.37499459375814,0.358344011900327
"SF",2.77593725783731e-10,4.50040005262053e-12,3.28626015289046e-14,1.86517468137026e-14,2.22044604925031e-16
"CH",32582.7535354236,25774.0144672431,24738.9536751631,21330.3438313565,19675.4038035872
"DB",0.560861929583448,0.607156301805422,0.614727725413237,0.642814114037857,0.858173461613449
"DBstar",0.706824600889465,0.906766700240651,0.823314939859112,1.18830163426537,1.52281407942649
"D",0,0,0,0,0
"COP",0.11723046026885,0.0852091811069257,0.0564110862672906,0.0650244861928859,0.0490632359597763
