"","metric_name","cluster_num","window","overlap","dist","metric_value"
"98","COP","6","120","0.75","dtw_basic",0.0609181167319642
"99","Sil","7","120","0.75","dtw_basic",0.320217301381969
"100","SF","7","120","0.75","dtw_basic",0
"101","CH","7","120","0.75","dtw_basic",23431.9386650863
"102","DB","7","120","0.75","dtw_basic",0.911976802039944
"103","DBstar","7","120","0.75","dtw_basic",1.37378720679737
"104","D","7","120","0.75","dtw_basic",0
"105","COP","7","120","0.75","dtw_basic",0.0542035956010778
"106","Sil","3","120","0","dtw_basic",0.45468377349792
"107","SF","3","120","0","dtw_basic",0
"108","CH","3","120","0","dtw_basic",10551.8608031887
"109","DB","3","120","0","dtw_basic",0.612411749627525
"110","DBstar","3","120","0","dtw_basic",0.789893461790349
"111","D","3","120","0","dtw_basic",0.00104785190359762
"112","COP","3","120","0","dtw_basic",0.123970170674193
"113","Sil","4","120","0","dtw_basic",0.420864506201521
"114","SF","4","120","0","dtw_basic",0
"115","CH","4","120","0","dtw_basic",8348.82336199033
"116","DB","4","120","0","dtw_basic",0.609178173532987
"117","DBstar","4","120","0","dtw_basic",0.743054072146737
"118","D","4","120","0","dtw_basic",0.000802568218298552
"119","COP","4","120","0","dtw_basic",0.0775337791346107
"120","Sil","5","120","0","dtw_basic",0.351622990938449
"121","SF","5","120","0","dtw_basic",0
"122","CH","5","120","0","dtw_basic",7352.63132610967
"123","DB","5","120","0","dtw_basic",0.671752233922489
"124","DBstar","5","120","0","dtw_basic",1.05710692664439
"125","D","5","120","0","dtw_basic",0.000768049155145927
"126","COP","5","120","0","dtw_basic",0.0781674690921543
"127","Sil","6","120","0","dtw_basic",0.34615407124337
"128","SF","6","120","0","dtw_basic",0
"129","CH","6","120","0","dtw_basic",7240.88914071011
"130","DB","6","120","0","dtw_basic",0.656153641444577
"131","DBstar","6","120","0","dtw_basic",1.07760905956008
"132","D","6","120","0","dtw_basic",0.000855066267635746
"133","COP","6","120","0","dtw_basic",0.0661189922116959
"134","Sil","7","120","0","dtw_basic",0.32460821598507
"135","SF","7","120","0","dtw_basic",0
"136","CH","7","120","0","dtw_basic",6389.77555101886
"137","DB","7","120","0","dtw_basic",0.746819984848653
"138","DBstar","7","120","0","dtw_basic",1.13902067777279
"139","D","7","120","0","dtw_basic",0.00191570881226053
"140","COP","7","120","0","dtw_basic",0.0509139049830906
"141","Sil","3","150","0.25","dtw_basic",0.429948309424375
"142","SF","3","150","0.25","dtw_basic",0
"143","CH","3","150","0.25","dtw_basic",7772.03565510848
"144","DB","3","150","0.25","dtw_basic",0.645442627284491
"145","DBstar","3","150","0.25","dtw_basic",0.814037472720622
"146","D","3","150","0.25","dtw_basic",0.00166481687014428
"147","COP","3","150","0.25","dtw_basic",0.123206524006453
"148","Sil","4","150","0.25","dtw_basic",0.40509213844845
"149","SF","4","150","0.25","dtw_basic",0
"150","CH","4","150","0.25","dtw_basic",6233.77496003529
"151","DB","4","150","0.25","dtw_basic",0.753345165672978
"152","DBstar","4","150","0.25","dtw_basic",0.960915260819568
"153","D","4","150","0.25","dtw_basic",0.00304054054054054
"154","COP","4","150","0.25","dtw_basic",0.0785019748253742
"155","Sil","5","150","0.25","dtw_basic",0.384859895242491
"156","SF","5","150","0.25","dtw_basic",0
"157","CH","5","150","0.25","dtw_basic",6576.06963093315
"158","DB","5","150","0.25","dtw_basic",0.618800846540634
"159","DBstar","5","150","0.25","dtw_basic",0.834615036923865
"160","D","5","150","0.25","dtw_basic",0.00179340028694405
"161","COP","5","150","0.25","dtw_basic",0.0623321140828531
"162","Sil","6","150","0.25","dtw_basic",0.317182365275187
"163","SF","6","150","0.25","dtw_basic",0
"164","CH","6","150","0.25","dtw_basic",5538.39768277074
"165","DB","6","150","0.25","dtw_basic",0.732068592273301
"166","DBstar","6","150","0.25","dtw_basic",1.25546421463534
"167","D","6","150","0.25","dtw_basic",0.000949667616334283
"168","COP","6","150","0.25","dtw_basic",0.0662674387873364
"169","Sil","7","150","0.25","dtw_basic",0.322404900022257
"170","SF","7","150","0.25","dtw_basic",0
"171","CH","7","150","0.25","dtw_basic",5170.01712138362
"172","DB","7","150","0.25","dtw_basic",0.792774515670912
"173","DBstar","7","150","0.25","dtw_basic",1.31977785734461
"174","D","7","150","0.25","dtw_basic",0.00269905533063428
"175","COP","7","150","0.25","dtw_basic",0.0537626674228318
"176","Sil","3","150","0.5","dtw_basic",0.451256154255212
"177","SF","3","150","0.5","dtw_basic",0
"178","CH","3","150","0.5","dtw_basic",13848.984504051
"179","DB","3","150","0.5","dtw_basic",0.57808787960681
"180","DBstar","3","150","0.5","dtw_basic",0.720392760635981
"181","D","3","150","0.5","dtw_basic",0.00113798008534851
"182","COP","3","150","0.5","dtw_basic",0.114725624249741
"183","Sil","4","150","0.5","dtw_basic",0.372338201372623
"184","SF","4","150","0.5","dtw_basic",0
"185","CH","4","150","0.5","dtw_basic",10453.8801244737
"186","DB","4","150","0.5","dtw_basic",0.847584457233197
"187","DBstar","4","150","0.5","dtw_basic",1.17135521912669
"188","D","4","150","0.5","dtw_basic",0.00115074798619104
"189","COP","4","150","0.5","dtw_basic",0.0995435950474683
"190","Sil","5","150","0.5","dtw_basic",0.315305548348986
"191","SF","5","150","0.5","dtw_basic",0
"192","CH","5","150","0.5","dtw_basic",9215.18064052308
"193","DB","5","150","0.5","dtw_basic",0.789154746706257
"194","DBstar","5","150","0.5","dtw_basic",1.19712357908347
"195","D","5","150","0.5","dtw_basic",0.000621697233447312
"196","COP","5","150","0.5","dtw_basic",0.0746799947588182
"197","Sil","6","150","0.5","dtw_basic",0.314469831408043
"198","SF","6","150","0.5","dtw_basic",0
"199","CH","6","150","0.5","dtw_basic",8750.65803122946
"200","DB","6","150","0.5","dtw_basic",0.828861009299406
"201","DBstar","6","150","0.5","dtw_basic",1.18826841176717
"202","D","6","150","0.5","dtw_basic",0.00163291966035271
"203","COP","6","150","0.5","dtw_basic",0.0607946222008203
"204","Sil","7","150","0.5","dtw_basic",0.30814907031494
"205","SF","7","150","0.5","dtw_basic",0
"206","CH","7","150","0.5","dtw_basic",7871.58903385221
"207","DB","7","150","0.5","dtw_basic",0.981650879167319
"208","DBstar","7","150","0.5","dtw_basic",1.48209307148203
"209","D","7","150","0.5","dtw_basic",0.00221483942414175
"210","COP","7","150","0.5","dtw_basic",0.0549210482323114
"211","Sil","3","150","0.75","dtw_basic",0.425991586173727
"212","SF","3","150","0.75","dtw_basic",0
"213","CH","3","150","0.75","dtw_basic",21884.2677876999
"214","DB","3","150","0.75","dtw_basic",0.574632047981404
"215","DBstar","3","150","0.75","dtw_basic",0.763369544161413
"216","D","3","150","0.75","dtw_basic",0.000272553829381307
"217","COP","3","150","0.75","dtw_basic",0.129538668554438
"218","Sil","4","150","0.75","dtw_basic",0.367076772619767
"219","SF","4","150","0.75","dtw_basic",0
"220","CH","4","150","0.75","dtw_basic",18415.4614419873
"221","DB","4","150","0.75","dtw_basic",0.637565508060933
"222","DBstar","4","150","0.75","dtw_basic",0.891000784874745
"223","D","4","150","0.75","dtw_basic",0.000879507475813544
"224","COP","4","150","0.75","dtw_basic",0.0949335467632315
"225","Sil","5","150","0.75","dtw_basic",0.313491941311396
"226","SF","5","150","0.75","dtw_basic",0
"227","CH","5","150","0.75","dtw_basic",12725.2481622991
"228","DB","5","150","0.75","dtw_basic",0.950813925068274
"229","DBstar","5","150","0.75","dtw_basic",1.23568620818151
"230","D","5","150","0.75","dtw_basic",0
"231","COP","5","150","0.75","dtw_basic",0.0652554817021829
"232","Sil","6","150","0.75","dtw_basic",0.345850148703204
"233","SF","6","150","0.75","dtw_basic",0
"234","CH","6","150","0.75","dtw_basic",13611.4407455574
"235","DB","6","150","0.75","dtw_basic",0.870233128217609
"236","DBstar","6","150","0.75","dtw_basic",1.27503281327664
"237","D","6","150","0.75","dtw_basic",0.000705965407695027
"238","COP","6","150","0.75","dtw_basic",0.059364169123656
"239","Sil","7","150","0.75","dtw_basic",0.326664283744659
"240","SF","7","150","0.75","dtw_basic",0
"241","CH","7","150","0.75","dtw_basic",12277.0500618963
"242","DB","7","150","0.75","dtw_basic",0.771600156225143
"243","DBstar","7","150","0.75","dtw_basic",1.1294613193155
"244","D","7","150","0.75","dtw_basic",0.000768344218209755
"245","COP","7","150","0.75","dtw_basic",0.0520856112401272
"246","Sil","3","150","0","dtw_basic",0.470175950496448
"247","SF","3","150","0","dtw_basic",0
"248","CH","3","150","0","dtw_basic",6405.55404385228
"249","DB","3","150","0","dtw_basic",0.637384390684701
"250","DBstar","3","150","0","dtw_basic",0.671190382511619
