"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.546950502695328,0.489369297198239,0.421710254038359,0.437389899522599,0.40772828536227
"SF",0.592107832926787,0.579821443747107,0.572829792891757,0.561078597330797,0.552849376995365
"CH",9689.32541638674,6126.67272632652,5240.12790678918,4020.60410816311,4411.51281374153
"DB",0.741500242117905,0.894944614236993,1.16477994497848,1.20537572668466,1.86621877506984
"DBstar",0.888602553109487,1.22873628887927,1.98131544411995,2.09886674091705,2.95566157116334
"D",0.000197182359401428,0.000224454874188243,0.000151165805469191,0.000118857259130818,0.000139014172074868
"COP",0.0529963957467741,0.040924815905456,0.0358205093505079,0.0320020027229229,0.0310798089513732
