"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.565642139981268,0.50667924455013,0.457373194993841,0.473471018341909,0.440676336830917
"SF",0.590458173494694,0.584519193125316,0.581628555231339,0.572892633808895,0.559633279115272
"CH",28958.62277891,27162.9890154704,35355.9040562854,34696.3508137601,16984.1706626507
"DB",0.404547173461438,0.557902042423071,0.841390633799854,0.612947093994398,0.586786766322831
"DBstar",0.552860427959695,0.908082356435815,1.49110131688758,1.10920429539001,1.11530135654632
"D",7.16009445315751e-05,5.45661006018491e-05,4.30224049583125e-05,4.43979297242006e-05,4.39232285549082e-05
"COP",0.0540033911941869,0.0401461153509677,0.0335458966018308,0.0297350572298819,0.0264517178453962
