"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.554359926043336,0.522904060964567,0.452256927914728,0.438783005382944,0.387818847634709
"SF",0.58952064041285,0.580962372162556,0.578570819853269,0.573823820742572,0.552870035371463
"CH",13435.389894681,12677.7355469761,14225.4217156216,14313.2620630269,7725.34440885085
"DB",0.401333486048651,0.828483245721907,0.714573292641554,0.507945063823518,1.23839736629444
"DBstar",0.549480494190963,1.19329553847798,1.31818575304848,0.981429573622288,2.67742953039209
"D",6.47683626204172e-05,8.40208506571312e-05,4.24583696752448e-05,6.55068076451971e-05,8.1647216473352e-05
"COP",0.0563528068963436,0.0393617253385379,0.0343333941273298,0.0310605249072252,0.0279245859759004
