"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.569190916099721,0.50409983954654,0.459733928876773,0.452010514885379,0.405563440317066
"SF",0.595360405445479,0.587900491087649,0.581079079969649,0.567660515147713,0.568560818296582
"CH",25816.5870552754,23480.3698935756,21457.3182318206,16242.4597237763,13106.0359947304
"DB",0.314704442676833,0.602594147276203,0.60600244832777,0.868758173562647,0.437468064023802
"DBstar",0.411243637611931,0.969423942031585,1.11539871836011,1.57794124239395,1.00503873074297
"D",7.00112489890937e-05,6.93945538978273e-05,7.5958565180695e-05,6.04351354088292e-05,1.03537716438009e-05
"COP",0.0526872217342491,0.0397544471380079,0.0331463671447899,0.0294724406068686,0.0281026755248365
