"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.598139090562133,0.547552384913307,0.527358900532435,0.457742293949194,0.467340141341792
"SF",0.614716545595744,0.604420047030042,0.595086203726038,0.596925326535356,0.591034480255186
"CH",91421.9466322831,57826.0671301157,43975.1881184191,57693.9535118224,39821.4278338719
"DB",0.256899235348805,0.501903162562314,0.569570364286929,0.577719994604598,0.453029151272238
"DBstar",0.355848295776843,0.847987868459215,0.99083585311418,1.28571731746634,1.00638690283548
"D",2.17582454797399e-05,1.04409186996046e-05,1.72539767045236e-05,8.19582214049121e-06,1.1067088318553e-05
"COP",0.0397586640283714,0.0270738071040033,0.021056658737692,0.0188149455672745,0.0170866050955835
