"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.561501750862896,0.521446030081817,0.482785320553616,0.444942706132016,0.438527307697152
"SF",0.563084680332672,0.539939702845282,0.534963311723026,0.528434692770036,0.515514683062193
"CH",24612.0872284318,9780.0912868791,12513.4460769073,17997.2984255283,8913.00889166818
"DB",0.584444196504852,0.878907617122565,0.45706581020656,1.7943269086741,0.669622850986059
"DBstar",0.802670447440792,1.38222448765728,0.835358370921686,3.45512579462081,1.41774683906842
"D",0.000116277677259254,8.49549053441361e-05,4.67447517745981e-05,8.86027616766452e-05,4.83195186593522e-05
"COP",0.0830303710654336,0.062305520238775,0.0518292242096005,0.0457586028854198,0.0434311968275818
