"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.501553321024977,0.454179985289682,0.471532487095601,0.34124014497587,0.295638234273417
"SF",0.624674618896765,0.621812054321762,0.619358389326627,0.619431484392646,0.618687183877393
"CH",8878.1892804158,7611.70571116002,5935.20874822258,5778.71941608694,5297.61589397775
"DB",0.7507277602347,0.810724438452571,0.9181263804018,1.3430474560691,1.22212797048606
"DBstar",0.986823436414123,1.2849475777003,1.38661334194989,2.08691309939456,2.37059445668473
"D",9.69933722381082e-05,0.000102797000089707,9.45080870316998e-05,0.000104016349888524,8.33378643550881e-05
"COP",0.0312508141784934,0.0272653699432514,0.0235865755394947,0.0218666139697298,0.0190619353551637
