"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.529549127754059,0.407241379155798,0.42010109918697,0.366552669095675,0.355980978402394
"SF",0.625953375079495,0.624610222631463,0.623461938082937,0.621675791809118,0.620071356078174
"CH",9396.09340832694,8330.0483423637,7194.98946295876,6741.68892679286,5689.35408321552
"DB",0.682972721968764,0.851501228635973,0.957765535595082,0.98149762272154,1.06509816852263
"DBstar",0.927843600252544,1.56558547111446,1.55240664478262,1.956449134074,2.11445349444838
"D",8.4417582340994e-05,4.64491555571891e-05,4.26613222041137e-05,6.02916790683398e-05,4.20155040942243e-05
"COP",0.0257237559497884,0.0213146360762562,0.0177578713594726,0.0166787324274537,0.0152675968330436
