"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.573201252617047,0.442057351198918,0.416273462180436,0.404836820280413,0.414295486768776
"SF",0.6274933675825,0.626578823276809,0.625563782882966,0.624621661696759,0.623741507645472
"CH",14994.4824555695,13535.8487876302,12203.7853478808,10490.9570512832,10148.9892697084
"DB",0.587505523308195,0.738432425253915,0.785620250774427,0.860758697438835,0.876136108030875
"DBstar",0.792174305204944,1.43269101133025,1.53601655009732,1.80320559626617,1.72303640304314
"D",4.45889363534198e-05,3.89121392542141e-07,2.77727702172836e-05,1.46502147560645e-05,2.0148022750452e-05
"COP",0.0212471226018414,0.0169702547734473,0.0147839518215318,0.0139395685176418,0.0117177319416574
