"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.484536817960078,0.469150676492196,0.39197713668031,0.33401948404145,0.262380809025952
"SF",0.623850606962034,0.62093383925092,0.619416626499873,0.61863395877888,0.61537704929661
"CH",2971.7795382127,2264.44639960137,2127.0543308665,1919.93578711678,1778.7543321522
"DB",0.802479973121481,1.15895089275054,0.963685738520943,1.12711824242507,1.31568511190717
"DBstar",1.01888671182774,1.28836631322806,1.47168113178258,1.69708612480337,2.86568935322653
"D",0.000248584297607677,0.000272073003929828,0.000261859103193391,0.000224950372394329,0.00015026454084655
"COP",0.0373320043000009,0.0343563921500803,0.0282857728709559,0.0260833476048762,0.0239130938535353
