"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.503605858935546,0.394664671514056,0.394763099710556,0.325446695440005,0.343860288050264
"SF",0.624609240445078,0.622786664308908,0.619814620221783,0.619993937189454,0.617248546510343
"CH",14751.2200601844,12535.3377620831,10504.8051380018,9161.68318033903,9013.7662529366
"DB",0.734451185679127,0.940882305948179,0.827881609548533,1.15376929259225,1.16729043348581
"DBstar",0.965719603651866,1.54833363858395,1.52955317234358,1.99020095583893,1.88822734264351
"D",6.7924548822821e-05,5.42436063754919e-05,2.23500068185986e-05,7.13195691694604e-05,5.44483093157276e-05
"COP",0.0295327878523122,0.0251482673109535,0.0223295002903804,0.0203280381525305,0.0186824505540088
