"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.446819219844,0.365187914455498,0.363526412537264,0.258457511916406,0.343318991227068
"SF",0.623567719920964,0.62080940402303,0.617987596799032,0.617901993706813,0.6148589095571
"CH",3563.29682906521,3023.4360022992,2894.97873205844,2272.96671372894,2186.81928936635
"DB",0.967132193648868,1.13937460022331,1.05640366319333,1.43613001402893,1.33048344098804
"DBstar",1.23866314161868,1.83049681802327,1.66549321949785,2.72917043258325,2.1536254458409
"D",0.000157586926482347,0.000122731451892275,9.65704549757097e-05,0.000104796069884523,0.000172042390148203
"COP",0.0379363486111923,0.0320541837854709,0.0293232054333232,0.0250690796007197,0.0241282036343387
