"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.526514072012322,0.412484345904708,0.360175400786055,0.38950717795216,0.278823980372257
"SF",0.625863878698436,0.624222451939854,0.623253443237955,0.621128818992286,0.620149512739951
"CH",6852.48247103577,6010.89605403734,5204.32231519271,4879.25495358275,4176.15272441007
"DB",0.6915622218597,0.930591702754557,1.01151583977961,0.94793087825131,1.2238730707398
"DBstar",0.936971719064008,1.69074755025905,1.90840564367407,1.67987710438582,2.43747263170969
"D",4.88570533028979e-05,4.37644666566917e-05,6.58948441599896e-05,4.37954567555163e-05,1.8971403443541e-05
"COP",0.0288076466292924,0.0234410844444076,0.0197249516086198,0.0173461182730605,0.017564449712165
