"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.517403056564495,0.399641217712748,0.371652728370669,0.361046812281762,0.365459529497848
"SF",0.626033359742896,0.624631396171897,0.62293840889115,0.621474950839442,0.620624605467589
"CH",13188.727448824,11684.2362148731,10480.0355957301,9237.85107676776,8673.38030153753
"DB",0.756086020782889,0.900964883802611,1.07367784205305,1.28825856211518,0.955292011067049
"DBstar",0.983818254912556,1.60611753365225,1.79931348437298,2.04955678458254,1.78426219083039
"D",5.10562844235789e-05,3.47344498333272e-05,1.62935286632861e-05,2.8171502364763e-05,2.80273347325486e-05
"COP",0.0244725224644093,0.0210130098123028,0.0190081611912552,0.017302316931037,0.014698638765172
