"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.4806122449449,0.386964596839439,0.35326238520911,0.358295543668733,0.323240151910484
"SF",0,0,0,0,0
"CH",14667.2387647502,11607.1699631327,10154.5407897766,8953.35596550454,8297.88081405443
"DB",0.53062173652643,0.66942039468891,0.712667690389663,0.691496471404179,0.721862434397749
"DBstar",0.577851733529742,0.975305131775514,1.14484214180199,0.980771186626302,1.17476319205379
"D",0.00148975791433891,0.00074878322725571,0.00114068441064638,0.00134952766531714,0.000825423029302518
"COP",0.103734437594468,0.0865636265571397,0.0745542166406975,0.0549114019037502,0.0592367970341025
