"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.470175950496448,0.368257633459029,0.34434301697968,0.280579202647794,0.301945925896926
"SF",0,0,0,0,0
"CH",6405.55404385228,5633.8941266508,4593.75243456852,3881.66940841021,4218.61146948902
"DB",0.637384390684701,0.773343446704321,0.773082390430291,1.11144114698026,0.829103381478184
"DBstar",0.671190382511619,1.11148051137047,1.20053441010669,2.06135339364411,1.22080806131329
"D",0.00255918106206015,0.00174469322477464,0.00238948626045399,0.00149476831091181,0.00166112956810631
"COP",0.0929921189007842,0.0936419022904636,0.0799519945566166,0.077035246858956,0.0553472895879963
