"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.607406695713936,0.496541083521016,0.459231418575512,0.479785102382003,0.422693751953845
"SF",0,0,0,0,0
"CH",25972.7382757318,24587.5312355402,21789.3735335906,19051.3238965155,19328.8248450776
"DB",0.349925860705805,0.425103780119503,0.446898350295515,0.585063960045067,0.45932415193609
"DBstar",0.407628324323184,0.796095830508015,1.03209974774282,1.30805863314089,1.40157362855399
"D",-1.01348164457393e-05,-7.4128648958625e-06,-1.30775791912125e-05,-1.16188746270276e-05,-2.54027788062505e-05
"COP",0.018551713239226,0.0157837739883664,0.0141524501389428,0.00850183548915809,0.00925063974057036
