"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.599570814068961,0.545585421961019,0.462303148123374,0.484608627002219,0.469213894539171
"SF",0,0,0,0,0
"CH",32395.3416523672,30083.9654849584,24465.950458941,26114.4382253181,24624.5836849651
"DB",0.303721201771311,0.374945999868326,0.453910657086955,0.484557806087926,0.445738608688928
"DBstar",0.469714274819895,0.720206222073262,1.24131278965445,1.21739255314876,1.37450308682799
"D",-2.45621433054792e-05,-8.07029700865698e-06,-2.66513239573215e-05,-1.89143589340792e-05,-2.84356513775862e-05
"COP",0.0257694811793979,0.0135690766646665,0.013618994562258,0.00827480948608801,0.00733178140980343
