"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.509169194477457,0.462157065787904,0.422085118511441,0.41312506468457,0.450265230230627
"SF",0,0,0,0,0
"CH",6837.96192564364,6429.75278929596,5891.38866267993,6317.04477085933,6245.31782927118
"DB",0.347248414909937,0.42758299868261,0.431237883960777,0.590016493170453,0.456332369593208
"DBstar",0.674825290069166,0.855516257086041,1.00474029849828,1.32662948624798,1.09551430976317
"D",1.28310348541105e-05,6.8200117339218e-06,1.942468852313e-05,3.30543277409743e-05,1.54964246787479e-05
"COP",0.0416415820910765,0.0214160256304035,0.01427335064644,0.00963288183873296,0.00861547112460208
