"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.547921446798913,0.476331877550048,0.482700121105299,0.471727564985758,0.448252359735254
"SF",0,0,0,0,0
"CH",40365.9597012098,37260.1069115782,35164.1785586876,32322.0185021669,31109.2917665843
"DB",0.301429763581277,0.436924650432767,0.547627331580528,0.54750495623027,0.560774547768252
"DBstar",0.48236784448022,0.814642700340069,1.11993338204006,1.13647541246922,1.17056509101218
"D",-1.09770486167211e-05,-7.05174530209319e-06,-1.25734234099425e-05,-2.45671849807184e-05,-1.39443911688989e-05
"COP",0.0302871869769672,0.0201446259035611,0.0120763841284717,0.00939009063845899,0.00751889384457885
