"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.576588141616097,0.51396499403999,0.447240567959851,0.454403362722294,0.370544023687068
"SF",0,0,0,0,0
"CH",10466.8401113708,8117.68640652441,9858.43030773334,8433.83032686161,6194.99532799325
"DB",0.396536809516203,0.357455793183186,0.560707006480024,0.485688385547495,0.887289473021506
"DBstar",0.44299130244765,0.529380795602938,1.27331687723275,1.07648746979084,1.91568414610054
"D",-1.66715705710684e-07,1.74689566787071e-05,-8.08369085010504e-06,7.41905295579805e-06,-2.42037935819004e-07
"COP",0.0224481537339464,0.0151578966727165,0.0128384690275299,0.00997839455759006,0.0113056346164306
