"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.603533358300117,0.481188414333807,0.447461582681425,0.426756030720572,0.389369110110275
"SF",0,0,0,0,0
"CH",11668.0702199497,11034.3796777729,9845.2977269393,7972.77237398095,9731.61090637195
"DB",0.312421406434119,0.484321599315546,0.450337432848124,0.667716937524928,0.688412660324302
"DBstar",0.338243340606421,0.912536413820845,1.07526163541342,1.72674413913034,1.82989996266998
"D",1.52164360192158e-05,-4.74412372010952e-06,9.58187147300923e-06,-3.87323515107288e-06,-1.17588527062507e-05
"COP",0.0177985684856698,0.0199771880863597,0.0180507298093296,0.0141771040706728,0.00778326335309946
