"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.429948309424375,0.40509213844845,0.384859895242491,0.317182365275187,0.322404900022257
"SF",0,0,0,0,0
"CH",7772.03565510848,6233.77496003529,6576.06963093315,5538.39768277074,5170.01712138362
"DB",0.645442627284491,0.753345165672978,0.618800846540634,0.732068592273301,0.792774515670912
"DBstar",0.814037472720622,0.960915260819568,0.834615036923865,1.25546421463534,1.31977785734461
"D",0.00166481687014428,0.00304054054054054,0.00179340028694405,0.000949667616334283,0.00269905533063428
"COP",0.123206524006453,0.0785019748253742,0.0623321140828531,0.0662674387873364,0.0537626674228318
