"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.459383309523771,0.40844331017364,0.367030402243469,0.336939633648383,0.331890301425776
"SF",0,0,0,0,0
"CH",20875.8103162632,17274.0972270405,15469.4710034711,13488.5863624125,11514.5452214968
"DB",0.56125688252058,0.672529504460342,0.619961780553018,0.759312071666187,0.867022866503102
"DBstar",0.691156563443625,0.841899876198872,0.931322436933511,1.11605724119902,1.3321617978806
"D",0.00106951871657754,0.000379506641366223,0.00117416829745596,0.000431220353600692,0.00137488542621448
"COP",0.117520866629361,0.0814625949800641,0.0699526878300761,0.0569256239950674,0.0530899089357715
