"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.413986391410139,0.360976361718682,0.317313832056193,0.326261686550235,0.297435116809575
"SF",0,0,0,0,0
"CH",7533.88374918075,6900.79366230476,5966.02552656849,5579.21197993795,5433.15115240954
"DB",0.611286824989243,0.784692622904396,0.705431378998027,0.788970543049181,0.818793478226693
"DBstar",0.817214298576547,1.08186528661302,1.13406940667851,1.15789550567622,1.28047701690325
"D",0.00135531962954597,0.00148257968865827,0.00172796840286349,0.00166759310728183,0.00169348010160881
"COP",0.149845217060623,0.0957347024411653,0.0833694607727518,0.0567559391584653,0.0586044902191332
