"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.496370868521216,0.402709088500475,0.384176699602704,0.367527988730478,0.352782230303933
"SF",4.87971885121397e-11,5.26756416263652e-12,3.58824081558851e-13,0,1.55431223447522e-15
"CH",14884.598015741,12580.096095503,11860.6523831576,9636.06302517077,9764.27088307515
"DB",0.532825291907885,0.581429897317177,0.648235107463411,0.851273661411698,0.831307005380356
"DBstar",0.596036600617835,0.89870490685959,1.1647863606765,1.37581881785452,1.56723265891477
"D",0,0,0,0,0
"COP",0.119733078075059,0.115474044948525,0.0878187731240875,0.0675220893088496,0.0715700475971103
