"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.444243771169603,0.411083910487773,0.372335704667567,0.323574211230492,0.329490499535928
"SF",4.77173855983892e-13,0,0,0,0
"CH",9890.78452939887,7815.63643542008,7502.8674208709,5513.20014000388,6260.5025101694
"DB",0.553908492207825,0.784957973611335,0.802058362860179,0.911234053685681,0.902470513552326
"DBstar",0.745486440003628,0.887557745212334,1.15426092770081,1.79302294421673,1.58981851599267
"D",0,0,0,0,0
"COP",0.174778096974841,0.106571290330889,0.0836030488955547,0.0955405586612117,0.0668046172685704
