"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.471675209769594,0.45097409528289,0.380921830121944,0.345320146577149,0.362394134559255
"SF",2.85447221415325e-10,2.29061214440662e-12,7.84927678409986e-13,5.32907051820075e-15,0
"CH",11960.0943745896,10918.4193939301,8928.86174851514,7942.90699093341,8023.38898720701
"DB",0.522730637924123,0.542046423951882,0.683999716294612,0.757595652908441,0.657300653382282
"DBstar",0.684099413254317,0.722947692778984,1.14422777802401,1.46680301769299,1.13739710413759
"D",0,0,0,0,0
"COP",0.165910625793522,0.0888909915785649,0.0845357953629445,0.075131428029947,0.0524937411998686
