"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.516007117004822,0.461589579916928,0.416513043818936,0.38231906779222,0.335965821915648
"SF",0,0,0,0,0
"CH",11843.7099753589,10236.4422985415,8058.12332507925,7413.22709120091,6526.65287305623
"DB",0.726748119573871,0.809844128730125,0.951063589063696,1.00778399059986,1.1369761477236
"DBstar",0.876614437953166,1.04905070476261,1.30673772552898,1.34071743723508,1.59770597476119
"D",0,0,0,0,0
"COP",0.310947734786587,0.257261024725194,0.214426258822285,0.145413061497295,0.138049393685042
