"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.477531261155567,0.440817542533966,0.398720876316499,0.373684898906996,0.313178879280375
"SF",0,0,0,0,0
"CH",3822.66780778681,3544.52428158302,2960.4620279494,2601.6471337914,2211.66264012246
"DB",0.801505553513756,0.832567806836533,0.864312697583135,0.941464019850561,1.21046807611605
"DBstar",1.00160081694251,1.03689962983957,1.17392102167521,1.23773099770729,1.67930032362117
"D",0,0,0,0,0
"COP",0.259096247794621,0.179976380072887,0.148768878622715,0.110734929326987,0.116443552717878
