"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.509460410180404,0.485560366048377,0.437503117845849,0.378672656664392,0.354640795555147
"SF",0,0,0,0,0
"CH",7339.82898574299,6302.66487873403,5601.46883915058,4433.30567077206,4059.24407232464
"DB",0.746325055462561,0.791040101026048,0.87566360312376,0.997421595154411,1.09525046323558
"DBstar",0.890971038284402,0.935294977286301,1.11955524498443,1.45572347169232,1.64307160418245
"D",0,0,0,0,0
"COP",0.280927307506819,0.174280369597119,0.154697739813688,0.164438403488073,0.130862244438658
