"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.539450040763422,0.479766397747565,0.442432297381774,0.429664095429884,0.376494352401389
"SF",6.43929354282591e-15,0,0,0,0
"CH",13211.4282829618,10667.7114461661,8389.26327187972,7572.13251944197,6828.28748768117
"DB",0.711662004556382,0.776683906425454,0.867832900969487,0.914881357080986,0.994596941069901
"DBstar",0.836445642333023,1.03650154279745,1.2038181289966,1.2654174730787,1.45414413186568
"D",0,0,0,0,0
"COP",0.373944653702769,0.31284089559613,0.251924783310854,0.157512127446661,0.186730541882386
