"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.49166376407541,0.441374415861024,0.392939166765362,0.360061830552465,0.310446890445774
"SF",0,0,0,0,0
"CH",8016.82556560606,6704.69218662114,5589.83398827328,4960.67228980087,4321.04344425395
"DB",0.749572270871008,0.852690222495473,0.937177306678445,1.05258928420176,1.21680417007271
"DBstar",0.920734913366598,1.08517957915502,1.31091019058096,1.36296100772273,1.79553529640872
"D",0,0,0,0,0
"COP",0.29181539716555,0.2373225374226,0.222904966108436,0.144597270644593,0.164143301147137
