"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.555741618861599,0.499238917557241,0.486732126660009,0.439057099454607,0.421231394849998
"SF",9.07984798459438e-12,1.14352971536391e-13,2.22044604925031e-16,0,0
"CH",30657.0211080399,26590.2187043361,23157.1468610654,19626.8364885895,17507.66773326
"DB",0.693268935390072,0.75843390277115,0.788884017930441,0.869532824999994,0.960571930458581
"DBstar",0.842786910889469,1.01419395677825,1.0405384834847,1.29290761484495,1.34617411424528
"D",0,0,0,0,0
"COP",0.448536221519284,0.347787623339343,0.195849815035556,0.211897730583744,0.150767436946437
