"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.496370868521216,0.402709088500475,0.384176699602704,0.367527988730478,0.352782230303933
"SF",2.85046231063291e-09,1.00878416731121e-10,4.86877205219116e-12,1.33226762955019e-15,9.99200722162641e-15
"CH",24433.5271848882,20160.8044220283,19286.3972943721,16956.8352397354,15682.4548518201
"DB",0.532825291907885,0.581429897317177,0.648235107463411,0.851273661411698,0.831307005380356
"DBstar",0.596036600617835,0.89870490685959,1.1647863606765,1.37581881785452,1.56723265891477
"D",0,0,0,0,0
"COP",0.119733078075059,0.115474044948525,0.0878187731240875,0.0675220893088496,0.0715700475971103
