"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.445960980839617,0.401812025507376,0.367971529071268,0.355860087171276,0.279265028165326
"SF",7.32747196252603e-15,0,0,0,0
"CH",10498.8609878451,8985.86320414267,8541.8648972708,7199.17621048914,6645.09712731104
"DB",0.667899854168687,0.740151057004398,0.701449353848486,0.769654510298034,1.07851655123102
"DBstar",0.732741031467047,0.864468622497085,0.947859770810151,1.14731122306866,1.68743538538336
"D",0,0,0,0,0
"COP",0.138756874009089,0.0997932959678708,0.0847178983112886,0.0722432593711668,0.0669786809997447
