"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.444871834747786,0.38708096222134,0.343931398447668,0.331730268522278,0.281037205070349
"SF",1.33670852164869e-13,0,0,0,0
"CH",8837.65776032101,6728.45757571441,6440.37020939437,5460.40547781719,5181.98161576864
"DB",0.693477817444416,0.628615221969316,0.798554725103542,0.756289905053674,0.921865118380301
"DBstar",0.780870704592835,0.89732849181549,1.16910258478914,1.0776769998203,1.62198552173644
"D",0,0,0,0,0
"COP",0.129168052208542,0.108471856858685,0.086515691592601,0.0699012113889932,0.0660878413108688
