"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.399847423918579,0.356301856842377,0.322608988003495,0.33450893941487,0.281989402182223
"SF",1.58761892521397e-13,0,0,0,0
"CH",14342.5705952421,11968.5903872935,10376.3882572685,10375.3821766568,9636.36382476657
"DB",0.698873011368293,0.785491859125479,0.73376571444977,0.832366723451422,1.06864640597444
"DBstar",0.910721389373663,1.09010689699636,1.18509254797548,1.35879734000039,1.78531899704447
"D",0,0,0,0,0
"COP",0.176603769478101,0.128971666706205,0.119164890375499,0.0771696573599902,0.0714853851392975
