"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.501665470428368,0.496342109263761,0.405484301888337,0.42512228178326,0.404384510442209
"SF",2.69734822344603e-06,4.3369974278562e-09,1.77738989082243e-08,4.62985205729183e-12,1.02784447619797e-11
"CH",36397.5587585136,30576.3466844372,28669.9577840661,24075.9818284416,27391.9572588834
"DB",0.514677145856144,0.523425759652317,0.73567773164542,1.13358536300261,0.756929219466554
"DBstar",0.597287267281103,0.610857898949378,1.4437205771279,1.72994123486062,1.31233784651063
"D",0,0,0,0,0
"COP",0.0944167776117667,0.0610927984541412,0.068285554160781,0.0447861182263833,0.040430542896078
