"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.4660610817602,0.431177703207512,0.414526206824913,0.37033925275902,0.30688224826274
"SF",1.38627875845287e-08,1.22661436563476e-10,1.98285832198053e-13,1.11466391672366e-13,6.66133814775094e-16
"CH",77529.5305438188,68876.8874827285,58714.3615325199,57829.7724549171,47271.5064956267
"DB",0.589218407493993,0.530166318914039,0.66620334143972,0.66457007535007,1.20597785560112
"DBstar",0.806908855291207,0.772107625805606,0.85562109716436,1.09162049239102,2.22360263683162
"D",0,0,0,0,0
"COP",0.171714613125808,0.0997636272215754,0.0799927753124472,0.070471451091994,0.06702265263598
