"","k_3","k_4","k_5","k_6","k_7"
"Sil",0.497079413963604,0.442763450367864,0.478252607852781,0.396640462895285,0.402898227437443
"SF",4.39886852743321e-06,1.01974217514567e-07,1.12597486889854e-10,8.93045415395477e-10,5.05404607054061e-11
"CH",69459.454955023,54348.14293947,47230.2300770334,44528.4825156453,45209.2261148208
"DB",0.572996259406004,0.521686850374698,0.583385484042562,0.701120104132927,0.56367420740578
"DBstar",0.753831462870645,0.894356383588331,0.736169730498661,1.57372070321433,0.961147435104577
"D",0,0,0,0,0
"COP",0.115900055664337,0.10571625675802,0.058653214220003,0.062875494339367,0.0366925242050779
